index,county1,county2,higher_gamma_mean_county,approx_diff_prob,delta,reduction_factor,RDET_percent
65,4012,4015,4015,0.9465,0.05,0.9450000000000001,5.499999999999994
68,4012,6071,6071,0.9236,0.05,0.9450000000000001,5.499999999999994
123,5139,22027,5139,0.9408,0.05,0.96,4.0000000000000036
245,12083,12119,12083,0.9639,0.05,0.89,10.999999999999998
249,12083,12001,12001,0.9536,0.05,0.89,10.999999999999998
250,12083,12075,12075,0.9387,0.05,0.96,4.0000000000000036
260,12119,12017,12017,0.9437,0.05,0.955,4.5000000000000036
263,12119,12053,12053,0.9203,0.05,0.98,2.0000000000000018
264,12119,12101,12101,0.9363,0.05,0.9450000000000001,5.499999999999994
270,12125,12007,12125,1.0,0.05,0.435,56.49999999999999
271,12125,12023,12125,1.0,0.05,0.44,56.00000000000001
272,12125,12001,12125,1.0,0.05,0.46,54.0
273,12125,12003,12125,1.0,0.05,0.445,55.49999999999999
290,13007,13087,13087,0.9359,0.05,0.965,3.500000000000003
300,13029,13031,13029,0.9011,0.05,0.99,1.0000000000000009
301,13029,13179,13029,0.9072,0.05,0.99,1.0000000000000009
303,13029,13051,13029,0.9774,0.05,0.88,12.0
346,13181,45065,13181,0.9364,0.05,0.955,4.5000000000000036
354,13209,13309,13209,0.9745,0.05,0.9,9.999999999999998
357,13213,13123,13213,0.9651,0.05,0.925,7.499999999999996
359,13213,47011,13213,0.9307,0.05,0.975,2.500000000000002
363,13279,13107,13279,0.9155,0.05,0.99,1.0000000000000009
371,13309,13161,13161,0.9982,0.05,0.735,26.5
408,16035,16079,16079,0.9512,0.05,0.935,6.499999999999995
427,17003,29031,17003,0.8956,0.05,0.99,1.0000000000000009
433,17017,17009,17017,0.9597,0.05,0.915,8.499999999999996
470,18147,21059,21059,0.9024,0.05,0.99,1.0000000000000009
534,21013,21131,21131,0.9935,0.05,0.895,10.499999999999998
535,21013,21095,21095,0.9375,0.05,0.97,3.0000000000000027
546,21051,21131,21131,0.9516,0.05,0.96,4.0000000000000036
548,21051,21193,21193,0.9935,0.05,0.895,10.499999999999998
549,21051,21125,21051,0.9292,0.05,0.985,1.5000000000000013
550,21051,21189,21189,0.9887,0.05,0.915,8.499999999999996
568,21133,21193,21193,0.9458,0.05,0.97,3.0000000000000027
570,21133,51195,21133,0.9272,0.05,0.985,1.5000000000000013
571,21147,21231,21147,0.999,0.05,0.8250000000000001,17.499999999999993
573,21147,47013,21147,0.8963,0.05,0.995,0.5000000000000004
574,21147,21125,21147,0.9949,0.05,0.875,12.5
576,21147,21199,21147,0.9913,0.05,0.9,9.999999999999998
577,21151,21065,21065,0.9115,0.05,0.985,1.5000000000000013
585,21187,21077,21077,0.9972,0.05,0.845,15.500000000000004
595,21231,47151,47151,0.9871,0.05,0.89,10.999999999999998
600,21237,21025,21025,0.9551,0.05,0.955,4.5000000000000036
602,21237,21165,21237,0.9076,0.05,0.99,1.0000000000000009
604,21237,21175,21237,0.9925,0.05,0.875,12.5
615,22011,22003,22011,0.9293,0.05,0.96,4.0000000000000036
618,22013,22081,22013,0.98,0.05,0.87,13.0
624,22013,22027,22013,0.9532,0.05,0.93,6.999999999999995
644,22037,28005,22037,0.9637,0.05,0.92,7.9999999999999964
716,24039,51001,51001,0.929,0.05,0.98,2.0000000000000018
802,28121,28089,28089,1.0,0.05,0.46499999999999997,53.5
812,28151,28055,28151,0.9486,0.05,0.95,5.000000000000004
827,29029,29169,29169,0.9414,0.05,0.9450000000000001,5.499999999999994
832,29029,29015,29015,0.9619,0.05,0.92,7.9999999999999964
836,29031,29201,29201,0.8975,0.05,0.99,1.0000000000000009
